,City,Var,Period,Phase,D-Type,T-Type,Winter,Spring,Summer,Fall
0,DENVER,TMIN,0,0,0,1,2.9023196053008253,1.7457517568838543,4.650538705210224,3.6597219328316797
1,DENVER,TMIN,1,0,0,1,1.0063459781620814,1.849716411367966,1.6821642448091734,2.211957702655218
2,DENVER,TMIN,2,0,0,1,0.8770401154494833,1.4468023654996471,1.5120489966468196,1.5691107001032805
3,DENVER,TMIN,3,0,0,1,0.7868212406388468,1.1584379973178305,1.4588593012780466,1.4228540968150263
4,DENVER,TMIN,4,0,0,1,0.7617063657591556,0.8991433433958859,1.2308479528392853,1.153666310793688
5,DENVER,TMIN,5,0,0,1,0.7389083887035807,0.9172653565869798,1.0510747788123223,1.1247197360788272
6,DENVER,TMIN,6,0,0,1,0.7675305230718262,1.0820637974687788,1.3263798868736425,1.3939924763710334
7,DENVER,TMIN,7,0,0,1,0.7344134815773963,0.9345611749694337,1.1584965543245265,1.212041766590587
8,DENVER,TMIN,8,0,0,1,0.7340945458096426,0.8682229163330843,1.0023251781286355,1.0485446437685904
9,DENVER,TMIN,9,0,0,1,0.7433246410228613,0.7793528815046816,0.8522238744463735,0.9670919290078991
10,DENVER,TMIN,10,0,0,1,0.6940704132826757,0.7680276038822332,0.7826062048189121,0.8817067115252867
11,DENVER,TMIN,11,0,0,1,0.6926124510870473,0.7607536852837402,0.9962622352945023,0.9536858515138288
12,DENVER,TMIN,12,0,0,1,0.7209546771816416,0.8354324499335893,0.8481859283134963,0.9939974401219486
13,DENVER,TMIN,13,0,0,1,0.7580521288071999,0.8096829595036121,0.8898076212023563,0.8882838621415522
14,DENVER,TMIN,14,0,0,1,0.6905876095210534,0.7272655489508107,0.7169662039691344,0.8708016007746293
15,DENVER,TMIN,15,0,0,1,0.6481435416708493,0.690277401141417,0.9402622911939549,0.817636081181579
16,DENVER,TMIN,16,0,0,1,0.636528167055431,0.6253895338624856,0.6843415365594002,0.7715186388183009
17,DENVER,TMIN,17,0,0,1,0.6748174452671565,0.6013857123983594,0.6440786475743977,0.8024281123931661
18,DENVER,TMIN,18,0,0,1,0.6477814569997383,0.6042909367650856,0.8070609491494002,0.7952401799178911
19,DENVER,TMIN,19,0,0,1,0.7416691249404357,0.8470683178957574,0.7542670721203409,0.8002485896342525
20,DENVER,TMIN,20,0,0,1,0.6638290210066612,0.730707998579356,0.8230524103886764,0.7549671783738304
21,DENVER,TMIN,21,0,0,1,0.6145876525975972,0.6218036761131188,0.8526175456853968,0.8122943609642967
22,DENVER,TMIN,22,0,0,1,0.6422605689140164,0.6288311775405925,0.7871006344721172,0.6825198339369628
23,DENVER,TMIN,23,0,0,1,0.771207665122799,0.6904536967746896,0.9912415662070369,0.7262895251470672
24,DENVER,TMIN,24,0,0,1,0.6081715721192671,0.6471541583185649,0.6234954125368447,0.6953988017983189
25,DENVER,TMIN,25,0,0,1,0.5670221474743594,0.5705739452733741,0.6685346512823577,0.664727467083467
26,DENVER,TMIN,26,0,0,1,0.5753201123804629,0.5670599532191509,0.7312124819517334,0.6607474087037084
27,DENVER,TMIN,27,0,0,1,0.6454202129110014,0.6147667390242422,0.626763519306292,0.7417218971207385
28,DENVER,TMIN,28,0,0,1,0.617478110403726,0.6574068145419193,0.9861493894948835,0.6562138478669904
29,DENVER,TMIN,29,0,0,1,0.6241367904471539,0.5923523719177783,0.639343762417901,0.685962251818931
30,DENVER,TMIN,30,0,0,1,0.5609740879476183,0.6885520429057124,0.9527529982001842,0.6668835976205093
31,DENVER,TMIN,31,0,0,1,0.5754577625848974,0.5944550824600437,0.8059428483074157,0.7209278366991198
32,DENVER,TMIN,32,0,0,1,0.5870989203276229,0.620335662901121,0.6888894345682021,0.6205253824406288
33,DENVER,TMIN,33,0,0,1,0.5867197094001715,0.5290479725165499,0.5550014555826279,0.5993155651623595
34,DENVER,TMIN,34,0,0,1,0.609998866004538,0.5225106555382194,0.5566122025798752,0.6085786354762934
35,DENVER,TMIN,35,0,0,1,0.5712234939724384,0.5291451853305591,0.6066967859492981,0.596491939819115
36,DENVER,TMIN,36,0,0,1,0.5733666595743337,0.6642125641005462,0.5553145887180073,0.5924129394971204
37,DENVER,TMAX,0,0,0,1,2.6771062936003074,1.2973637490608136,3.5471606715148774,2.5268082605400792
38,DENVER,TMAX,1,0,0,1,0.8850012378131303,1.2443119076999567,1.4087214604015512,1.576720691317518
39,DENVER,TMAX,2,0,0,1,0.84229636070489,1.0618271265011312,1.3008534136510177,1.1796724947953112
40,DENVER,TMAX,3,0,0,1,0.8051903838573743,0.9393435176144527,1.1408549337451,1.0050552011320115
