,City,Var,Period,Phase,D-Type,T-Type,Start,End,Winter,Spring,Summer,Fall
0,DENVER,TMIN,0,4,0,1,195005,200503,0.9811103516960832,1.3224501570188678,1.797417749298771,1.8386666137679437
1,DENVER,TMIN,1,4,0,1,195006,200503,0.9460943371250448,1.3750254587266253,1.3388366548844133,1.6674072186359552
2,DENVER,TMIN,2,4,0,1,195007,200503,0.9190127726793412,1.0986636637757907,1.5952294627397077,1.5178440377491331
3,DENVER,TMIN,3,4,0,1,195008,200503,0.9074713011399126,0.9851401452320235,1.2725818065496999,1.4495541357164872
4,DENVER,TMIN,4,4,0,1,195009,200503,0.8292576188707974,0.9366166304593216,0.9652502107646749,1.199998300859247
5,DENVER,TMIN,5,4,0,1,195010,200503,0.7971043038228883,0.9393790056163608,0.9403492127816234,1.0687235800630668
6,DENVER,TMIN,6,4,0,1,195011,200503,0.7772792632681561,0.9017270954806141,0.9070891726513924,1.0354419595287156
7,DENVER,TMIN,7,4,0,1,195012,200503,0.7742861522198633,0.8613927273879857,0.9091430873489553,1.025325705737393
8,DENVER,TMIN,8,4,0,1,195101,200503,0.7518375220482639,0.83533515867726,0.9676948882399344,0.9899831847800439
9,DENVER,TMIN,9,4,0,1,195102,200503,0.7296148536174485,0.8467046698726222,1.0387394889905792,1.006331987127319
10,DENVER,TMIN,10,4,0,1,195103,200503,0.7312335967232159,0.7862911141647104,0.9436012263310892,0.8830285507344516
11,DENVER,TMIN,11,4,0,1,195104,200503,0.7225121540795912,0.7168579679993524,0.8060329715554753,0.8826744070315288
12,DENVER,TMIN,12,4,0,1,195105,200503,0.7026678993447307,0.7420455096976749,0.9012720958072934,0.8233225094521103
13,DENVER,TMIN,13,4,0,1,195106,200503,0.684915541211784,0.7210334020099727,0.8632649263893523,0.8600769356463593
14,DENVER,TMIN,14,4,0,1,195107,200503,0.8238927276938993,0.7976494783359259,1.098980925927272,0.8423094823974023
15,DENVER,TMIN,15,4,0,1,195108,200503,0.630156489430588,0.7161371418365124,0.8397745832505116,0.8333357072015702
16,DENVER,TMIN,16,4,0,1,195109,200503,0.712173904660713,0.7349500153479812,0.8761299489692603,0.7497824320997996
17,DENVER,TMIN,17,4,0,1,195110,200503,0.6732369539229724,0.7360977714542658,0.8601591195423454,0.7587206862497823
18,DENVER,TMIN,18,4,0,1,195111,200503,0.6339045265401513,0.8153797344726171,0.8699375858000659,0.8069105044001423
19,DENVER,TMIN,19,4,0,1,195112,200503,0.6026466036957846,0.7234081247830764,0.8833040790990468,0.7245785979698415
20,DENVER,TMIN,20,4,0,1,195201,200503,0.662631687774165,0.734343050217959,0.7170275452068134,0.7960501689123136
21,DENVER,TMIN,21,4,0,1,195202,200503,0.6531732785915828,0.6478106638370317,0.6348524569805604,0.7088328261140348
22,DENVER,TMIN,22,4,0,1,195203,200503,0.7122238329619653,0.7868423408336342,0.6636766555810172,0.7358126861116876
23,DENVER,TMIN,23,4,0,1,195204,200503,0.6085139679469783,0.6872323719222794,0.9768149533903793,0.7407664536479048
24,DENVER,TMIN,24,4,0,1,195205,200503,0.5989585587378693,0.5775952264565047,0.6055220057058586,0.6792721854308725
